abandonment	abandon
ascension	ascend
ascent	ascend
ascription	ascribe
aspersion	asperse
asphyxiation	asphyxiate
aspirant	aspirate
aspiration2	aspirate
aspiration1	aspire
assailant	assail
assassination	assassinate
assemblage	assemble
assembly	assemble
assertion	assert
assessment	assess
assessor	assess
asseveration	asseverate
assignation	assign
assignment	assign
assimilation	assimilate
assistance	assist
assistant	assist
association	associate
assumption	assume
assurance	assure
astonishment	astonish
atomizer	atomize
atonement	atone
attachment	attach
attacker	attack
attainment	attain
attendance	attend
attendant	attend
attendee	attend
attention	attend
attenuation	attenuate
attraction	attract
attribution	attribute
auctioneer	auction
auditor	audit
augmentation	augment
augury	augur
authentication	authenticate
authority	authorize
authorization	authorize
automation	automate
avenger	avenge
aversion	avert
avoidance	avoid
avowal	avow
babbler	babble
babysitter	babysit
back-up	back
backbiter	backbite
backer	back
bagger	bag
bailment	bail
bailor	bail
bailout	bail
baker	bake
banishment	banish
banker	bank
banking	bank
banner	ban
baptism	baptize
barbarism	barbarize
barker	bark
barnstormer	barnstorm
barrier	bar
barterer	barter
basis	base
bather	bathe
batter	bat
batting	bat
bearer	bear
bearing	bear
beater	beat
beatification	beatify
bedevilment	bedevil
begetter	beget
beginner	begin
behavior	behave
beholder	behold
being	be
belief	believe
believer	believe
bender	bend
benefactor	benefit
beneficiary	benefit
bequest	bequeath
bereavement	bereave
besieger	besiege
bestowal	bestow
betrayal	betray
betrayer	betray
betrothal	betroth
betterment	better
bettor	bet
bewilderment	bewilder
bidder	bid
bidding	bid
bifurcation	bifurcate
billing	bill
binder	bind
birth	bear
bisection	bisect
blackmailer	blackmail
blasphemer	blaspheme
blazer	blaze
blazonry	blazon
blighter	blight
blockage	block
blocker	block
blocking	block
bloomer	bloom
blotter	blot
blower	blow
bluffer	bluff
blunderer	blunder
boarder	board
boaster	boast
boater	boat
boiler	boil
bombardment	bombard
bomber	bomb
booking	book
booster	boost
bootlegger	bootleg
boozer	booze
borderer	border
boredom	bore
borer	bore
borrower	borrow
borrowing	borrow
botcher	botch
bottler	bottle
bounder	bound
bowler	bowl
boxer	box
boxing	box
bravery	brave
brawler	brawl
break-up	break
breakage	break
breakdown	break
breaker	break
breakup	break
breather	breathe
breathing	breathe
breeder	breed
breeding	breed
brewer	brew
bribery	bribe
briefing	brief
brightener	brighten
broadcaster	broadcast
broiler	broil
brokerage	broker
bruiser	bruise
buffer	buff
bugger	bug
buggery	bugger
build-up	build
builder	build
buildup	build
bulldozer	bulldoze
bumper	bump
bungler	bungle
burglary	burgle
burial	bury
burner	burn
buster	bust
butchery	butcher
buy-back	buy
buy-out	buy
buyer	buy
buzzer	buzz
bystander	stand
cackler	cackle
cadger	cadge
cajolery	cajole
calcination	calcine
calculation	calculate
calculator	calculate
calibration	calibrate
caller	call
campaigner	campaign
camper	camp
canalization	canalize
cancellation	cancel
cannibalism	cannibalize
canoeist	canoe
canonization	canonize
canter	cant
cantor	cant
capitalist	capitalize
capitalization	capitalize
capitulation	capitulate
captive	capture
captor	capture
carbonization	carbonize
caricaturist	caricature
caroller	carol
carousal	carouse
carrier	carry
carry-forward	carry
carryover	carry
carter	cart
cartoonist	cartoon
carver	carve
caster	cast
castigation	castigate
casting	cast
castor	cast
castration	castrate
catalysis	catalyze
catalyst	catalyze
catcher	catch
catechism	catechize
caterer	cater
causation	cause
cave-in	cave
celebrant	celebrate
celebration	celebrate
censer	censure
censor	censure
censorship	censor
centralization	centralize
certification	certify
cessation	cease
cession	cede
challenger	challenge
champ	champion
championship	champion
changeover	change
characterization	characterize
charge-off	charge
charger	charge
charmer	charm
charter	chart
chaser	chase
chastisement	chastise
cheater	cheat
checker	check
chiseler	chisel
chiseller	chisel
chlorination	chlorinate
choice	choose
choker	choke
chopper	chop
chronicler	chronicle
circulation	circulate
circumcision	circumcise
circumnavigation	circumnavigate
circumscription	circumscribe
circumvention	circumvent
citation	cite
civilization	civilize
claimant	claim
clampdown	clamp
clanger	clang
clangor	clang
clapper	clap
clarification	clarify
classification	classify
cleaner	clean
cleanser	cleanse
cleanup	clean
clearance	clear
cleaver	cleave
climber	climb
clincher	clinch
clinker	clink
clipper	clip
clipping	clip
closure	close
co-operation	co-operate
co-optation	co-opt
coagulation	coagulate
coalescence	coalesce
coating	coat
cobbler	cobble
codification	codify
coercion	coerce
coexistence	coexist
cogeneration	cogenerate
cogitation	cogitate
cohabitation	cohabit
coherence	cohere
cohesion	cohere
coinage	coin
coincidence	coincide
coiner	coin
collaboration	collaborate
collaborator	collaborate
collation	collate
collection	collect
collectivization	collectivize
collector	collect
collision	collide
collocation	collocate
collusion	collude
colonialist	colonize
colonist	colonize
colonization	colonize
colonizer	colonize
colorization	color
combatant	combat
combination	combine
combustion	combust
comeback	come
comer	come
comforter	comfort
commander	command
commandment	command
commemoration	commemorate
commencement	commence
commendation	commend
commentary	comment
commentator	commentate
commercialization	commercialize
commiseration	commiserate
commission	commit
commissioner	commission
commital	commit
commitment	commit
communicant	communicate
communication	communicate
communion	commune
communique	communication
commutation	commute
commuter	commute
comparison	compare
compensation	compensate
competition	compete
competitiveness	compete
competitor	compete
compilation	compile
compiler	compile
complainant	complain
complaint	complain
complaisance	comply
complementation	complement
completion	complete
compliance	comply
complication	complicate
comportment	comport
composer	compose
composition	compose
composure	compose
comprehension	comprehend
compression	compress
compressor	compress
computation	compute
computer	compute
concealment	conceal
conceiver	conceive
concentration	concentrate
concept	conceive
conception	conceive
conceptualization	conceptualize
concession	concede
conciliation	conciliate
conclusion	conclude
concoction	concoct
concurrence	concur
concussion	concuss
condemnation	condemn
condensation	condense
condenser	condense
condescension	condescend
conditioner	condition
condonation	condone
conduction	conduct
conductor	conduct
confabulation	confabulate
confederation	confederate
conferee	confer
conference	confer
conferment	confer
confession	confess
confessor	confess
confidant	confide
confidence	confide
confidence-crusher	crush
configuration	configure
confinement	confine
confirmation	confirm
confiscation	confiscate
conflation	conflate
conformation	conform
conformist	conform
confrontation	confront
confusion	confuse
confutation	confute
conglomeration	conglomerate
congratulation	congratulate
congregation	congregate
conjugation	conjugate
conjunction	conjoin
conjuration	conjure
conjurer	conjure
conjuror	conjure
connection	connect
connector	connect
connivance	connive
connotation	connote
conqueror	conquer
conquest	conquer
conscription	conscript
consecration	consecrate
conservancy	conserve
conservation	conserve
consideration	consider
consignee	consign
consigner	consign
consignment	consign
consignor	consign
consistence	consist
consolation	console
consolidation	consolidate
conspiracy	conspire
conspirator	conspire
constipation	constipate
constitution	constitute
constraint	constrain
constriction	constrict
construction	construct
constructor	construct
consultant	consult
consultation	consult
consumer	consume
consummation	consummate
consumption	consume
container	contain
containment	contain
contaminant	contaminate
contamination	contaminate
contemplation	contemplate
contender	contend
content	contain
contention	contend
contentment	content
contestant	contest
continuance	continue
continuation	continue
contortion	contort
contraction	contract
contractor	contract
contradiction	contradict
contravention	contravene
contribution	contribute
contributor	contribute
contrivance	contrive
contriver	contrive
controller	control
contusion	contuse
convalescence	convalesce
convalescent	convalesce
convener	convene
convention	convene
convergence	converge
conversation	converse
conversion	convert
converter	convert
conveyance	convey
conveyer	convey
conveyor	convey
conviction	convict
convocation	convoke
convulsion	convulse
cooker	cook
cooking	cook
coolant	cool
cooler	cool
cooperation	cooperate
cooperative	cooperate
cooperator	cooperate
coordination	coordinate
coordinator	coordinate
copier	copy
copulation	copulate
copyist	copy
corker	cork
correction	correct
correlation	correlate
correspondence	correspond
correspondent	correspond
corroboration	corroborate
corrosion	corrode
corrugation	corrugate
corruption	corrupt
counseling	counsel
counsellor	counsel
counselor	counsel
countdown	count
countenance	look
counter	count
counteraction	counteract
counterfeiter	counterfeit
countertrader	countertrade
courser	course
courtship	court
coverage	cover
crackdown	crack
cracker	crack
crammer	cram
crashlet	crash
craving	crave
crawler	crawl
creation	create
creator	create
credential	credit
creditor	credit
creeper	creep
cremation	cremate
crier	cry
critic	criticize
criticism	criticize
crooner	croon
cropper	crop
cross-examination	cross-examine
cross-examiner	cross-examine
cross-fertilization	cross-fertilize
cruiser	cruise
crusader	crusade
crystallization	crystallize
culmination	culminate
cultivation	cultivate
cultivator	cultivate
curler	curl
curtailment	curtail
cutback	cut
cutoff	cut
cutout	cut
cutter	cut
cutting	cut
dabbler	dabble
dalliance	dally
damnation	damn
damper	dampen
dancer	dance
dancing	dance
dauber	daub
dawdler	dawdle
de-emphasis	de-emphasize
de-escalation	de-escalate
dealer	deal
dealership	deal
dealing	deal
death	die
debarkation	debark
debasement	debase
debater	debate
debauchee	debauch
debauchery	debauch
decanter	decant
decapitation	decapitate
deceiver	deceive
decentralization	decentralize
deception	deceive
decimalization	decimalize
decision	decide
declaration	declare
declassification	declassify
declination	decline
decliner	decline
decoder	decode
decolonization	decolonize
decomposition	decompose
decompression	decompress
decontamination	decontaminate
decoration	decorate
decorator	decorate
dedication	dedicate
deduction2	deduce
deduction1	deduct
deed	do
defacement	deface
defamation	defame
defaulter	default
defecation	defecate
defection	defect
defector	defect
defendant	defend
defender	defend
defense	defend
deference	defer
deferment	defer
deferral	defer
defiance	defy
defilement	defile
definition	define
deflation	deflate
deflator	deflate
deflection	deflect
defoliant	defoliate
defoliation	defoliate
defrayal	defray
defrayment	defray
defroster	defrost
degeneration	degenerate
degradation	degrade
deification	deify
delegation	delegate
deletion	delete
deliberation	deliberate
delimitation	delimit
delineation	delineate
deliverance	deliver
deliverer	deliver
delivery	deliver
delusion	delude
demagnetization	demagnetize
demarcation	demarcate
demeanor	demean
demo	demonstrate
demobilization	demobilize
democratization	democratize
demolition	demolish
demonetization	demonetize
demonstration	demonstrate
demonstrator	demonstrate
demoralization	demoralize
demotion	demote
denationalization	denationalize
denial	deny
denier	deny
denigration	denigrate
denomination	denominate
denominator	denominate
denudation	denude
denunciation	denounce
departure	depart
dependant	depend
dependence	depend
dependency	depend
dependent	depend
depiction	depict
depletion	deplete
deployment	deploy
depopulation	depopulate
deportation	deport
deportee	deport
deportment	deport
deposition2	deposit
deposition	depose
depositor	deposit
deprecation	deprecate
depreciation	depreciate
depressant	depress
depression	depress
deprivation	deprive
deputation	depute
derailment	derail
derangement	derange
deregulation	deregulate
deregulaton	deregulate
derision	deride
derivation	derive
derivative	derive
derogation	derogate
desalination	desalinate
desalinization	desalinize
descendant	descend
descent	descend
description	describe
desecration	desecrate
desegregation	desegregate
desensitization	desensitize
deserter	desert
desertion	desert
desiccant	desiccate
designation	designate
designee	designate
designer	design
desolation	desolate
desperation	despair
destination	destine
destiny	destine
destroyer	destroy
destruction	destroy
detachment	detach
detainee	detain
detection	detect
detective	detect
detector	detect
detention	detain
deterioration	deteriorate
determinant	determine
determination	determine
determiner	determine
deterrence	deter
deterrent	deter
detestation	detest
dethronement	dethrone
detonation	detonate
detonator	detonate
detoxification	detoxify
detraction	detract
detractor	detract
detribalization	detribalize
devaluation	devaluate
devastation	devastate
developer	develop
development	develop
deviant	deviate
deviation	deviate
devisee	devise
devitalization	devitalize
devotee	devote
devotion	devote
diagnosis	diagnose
dictation	dictate
dictator	dictate
difference	differ
differential	differ
differentiation	differentiate
diffraction	diffract
diffusion	diffuse
digestion	digest
digger	dig
digression	digress
dilation	dilate
dilution	dilute
diminution	diminish
diner	dine
dipper	dip
direction	direct
directive	direct
director	direct
disablement	disable
disagreement	disagree
disappearance	disappear
disappointment	disappoint
disapprobation	disapprove
disapproval	disapprove
disarmament	disarm
disarrangement	disarrange
disavowal	disavow
disbandment	disband
disbelief	disbelieve
disbursement	disburse
discernment	discern
disclaimer	disclaim
disclosure	disclose
discoloration	discolor
discolouration	discolour
discombobulation	discombobulate
discomfiture	discomfit
discomfort	discomfit
discomposure	discompose
discontinuance	discontinue
discontinuation	discontinue
discounter	discount
discouragement	discourage
discoverer	discover
discovery	discover
discrimination	discriminate
discussion	discuss
disembarkation	disembark
disembarrassment	disembarrass
disenchantment	disenchant
disengagement	disengage
disentanglement	disentangle
disestablishment	disestablish
disfigurement	disfigure
disfranchisement	disfranchise
disgorgement	disgorge
disillusionment	disillusion
disinclination	disincline
disinfectant	disinfect
disinfection	disinfect
disinfestation	disinfest
disinheritance	disinherit
disintegration	disintegrate
disinterment	disinter
dislocation	dislocate
dislodgement	dislodge
dismantlement	dismantle
dismemberment	dismember
dismissal	dismiss
disobedience	disobey
disorganization	disorganize
disparagement	disparage
dispatcher	dispatch
dispensary	dispense
dispensation	dispense
dispenser	dispense
dispersal	disperse
dispersion	disperse
displacement	displace
displeasure	displease
disposal	dispose
disposition	dispose
dispossession	dispossess
disputant	dispute
disputation	dispute
disqualification	disqualify
disruption	disrupt
dissatisfaction	dissatisfy
dissection	dissect
dissembler	dissemble
dissemination	disseminate
dissension	dissent
dissenter	dissent
dissimulation	dissimulate
dissipation	dissipate
dissociation	dissociate
dissolution	dissolve
dissuasion	dissuade
distension	distend
distillation	distill
distiller	distill
distinction	distinguish
distortion	distort
distraction	distract
distributer	distribute
distribution	distribute
distributor	distribute
distributorship	distribute
disturbance	disturb
divagation	divagate
dive-bomber	dive-bomb
diver	dive
divergence	diverge
diversification	diversify
diversion	divert
divestiture	divest
divestment	divest
divination	divine
diviner	divine
division	divide
divisor	divide
divorcee	divorce
divulgence	divulge
do-gooder	do
docker	dock
documentation	document
dodderer	dodder
dodger	dodge
doer	do
domestication	domesticate
dominance	dominate
domination	dominate
dominion	dominate
donation	donate
donor	donate
downfall	fall
downing	down
downsizing	downsize
dowry	dower
dowser	dowse
draftee2	draft
draftee1	draft
drainage	drain
dramatist	dramatize
dramatization	dramatize
draper	drape
dreamer	dream
dredger	dredge
drenching	drench
dresser	dress
dribbler	dribble
drifter	drift
drinker	drink
drinking	drink
driveller	drivel
driver	drive
drop-off	drop
dropout	drop
dropper	drop
drubbing	drub
drudgery	drudge
drummer	drum
dry-cleaner	dry-clean
dryer	dry
duelist	duel
duellist	duel
dumper	dump
duplication	duplicate
duplicator	duplicate
duster	dust
dweller	dwell
dwelling	dwell
dyer	dye
earner	earn
eater	eat
eavesdropper	eavesdrop
edification	edify
edition	edit
editor	edit
education	educate
educator	educate
eduction	educate
effacement	efface
effect	affect
effervescence	effervesce
effrontery	affront
ejaculation	ejaculate
ejection	eject
ejector	eject
elaboration	elaborate
elation	elate
election	elect
elector	elect
electorate	elect
electrification	electrify
electrocution	electrocute
electrolysis	electrify
elevation	elevate
elevator	elevate
elicitation	elicit
elimination	eliminate
elision	elide
elongation	elongate
elopement	elope
elucidation	elucidate
emaciation	emaciate
emanation	emanate
emancipation	emancipate
emasculation	emasculate
embalmment	embalm
embarkation	embark
embarrassment	embarrass
embellishment	embellish
embezzlement	embezzle
embitterment	embitter
embodiment	embody
embroidery	embroider
emendation	emend
emergence	emerge
emigrant	emigrate
emigration	emigrate
emission	emit
emphasis	emphasize
employee	employ
employer	employ
employment	employ
emulation	emulate
enactment	enact
encampment	encamp
enchanter	enchant
enchantment	enchant
encirclement	encircle
enclosure	enclose
encouragement	encourage
encroachment	encroach
endangerment	endanger
endearment	endear
ending	end
endorsement	endorse
endowment	endow
endurance	endure
enforcement	enforce
enforcer	enforce
enfranchisement	enfranchise
engagement	engage
engorgement	engorge
engraver	engrave
enhancement	enhance
enjoyment	enjoy
enlargement	enlarge
enlightenment	enlighten
enlistment	enlist
ennoblement	ennoble
enquirer	enquire
enquiry	enquire
enrichment	enrich
enrollee	enroll
enrollment	enroll
enrolment	enroll
enslavement	enslave
entanglement	entangle
entertainer	entertain
entertainment	entertain
enthronement	enthrone
enticement	entice
entitlement	entitle
entrance	enter
entrant	enter
entreaty	entreat
entrenchment	entrench
entry	enter
enumeration	enumerate
enunciation	enunciate
envelopment	envelope
equality	equal
equalization	equalize
equalizer	equalize
equation	equate
equipment	equip
eradication	eradicate
eraser	erase
erasure	erase
erection	erect
erosion	erode
error	err
eruption	erupt
escalation	escalate
escalator	escalate
escapee	escape
escapement	escape
espionage	spy
espousal	espouse
establishment	establish
estimation	estimate
estimator	estimate
estrangement	estrange
etcher	etch
eulogist	eulogize
evacuation	evacuate
evacuee	evacuate
evader	evade
evaluation	evaluate
evaporation	evaporate
evasion	evade
eviction	evict
evolution	evolve
exacerbation	exacerbate
exaction	exact
exaggeration	exaggerate
exaltation	exalt
examination	examine
examiner	examine
example	exemplify
exasperation	exasperate
excavation	excavate
excavator	excavate
excellence	excel
exception	except
excess	exceed
exchanger	exchange
excision	excise
excitement	excite
exclamation	exclaim
exclusion	exclude
excogitation	excogitate
excommunication	excommunicate
excoriation	excoriate
excretion	excrete
execration	execrate
executant	execute
execution	execute
executor	execute
exemplification	exemplify
exemption	exempt
exertion	exert
exhalation	exhale
exhaustion	exhaust
exhibition	exhibit
exhibitor	exhibit
exhilaration	exhilarate
exhortation	exhort
exhumation	exhume
existence	exist
exoneration	exonerate
exorcism	exorcise
expansion	expand
expansionism	expand
expectancy	expect
expectation	expect
expedition	expedite
expenditure	spend
expense	expend
experimentation	experiment
experimenter	experiment
expiation	expiate
expiration	expire
expiry	expire
explanation	explain
exploitation	exploit
exploration	explore
explorer	explore
explosion	explode
explusion	expel
exportation	export
exporter	export
exposition	expose
expostulation	expostulate
exposure	expose
expression	express
expropriation	expropriate
expulsion	expel
expurgation	expurgate
extension	extend
extent	extend
extenuation	extenuate
extermination	exterminate
extinguisher	extinguish
extirpation	extirpate
extortion	extort
extraction	extract
extradition	extradite
extrapolation	extrapolate
extrication	extricate
extrusion	extrude
exultation	exult
fabrication	fabricate
fabricator	fabricate
facer	face
facing	face
failure	fail
falloff	fall
falsification	falsify
familiarization	familiarize
fancier	fancy
farmer	farm
fascination	fascinate
fastener	fasten
favorite	favor
favoritism	favor
federation	federate
feeder	feed
feeler	feel
feeling	feel
felicitation	felicitate
fencer	fence
fender	fend
fermentation	ferment
fertilization	fertilize
fertilizer	fertilize
fibber	fib
fiddler	fiddle
fielder	field
fighter	fight
fighting	fight
filers	file
filling	fill
filtration	filter
financer	finance
financier	finance
finder	find
firing	fire
fisher	fish
fisherman	fish
fishing	fish
fission	divide
fitment	fit
fitter	fit
fixation	fixate
flagellant	flagellate
flagellation	flagellate
flapper	flap
flatterer	flatter
flattery	flatter
flicker	flick
flier	fly
flight	fly
flipper	flip
flirtation	flirt
floatation	float
flotation	float
fluctuation	fluctuate
fluoridation	fluoridate
fluoridization	fluoridize
fluting	flute
flutist	flute
flyer	fly
follow-up	follow
follower	follow
fomentation	foment
food	feed
footing	foot
footslogger	footslog
forbearance	forbear
forecaster	forecast
foreclosure	foreclose
forfeiture	forfeit
forger	forge
forgery	forge
forging	forge
forgiveness	forgive
formalism	formalize
formation	form
formulation	formulate
fornication	fornicate
fortification	fortify
fossilization	fossilize
foundation	found
founder	found
foundry	founder
foxhunter	foxhunt
fragmentation	fragment
framer	frame
franchisee	franchise
franchiser	franchise
fraternization	fraternize
freedom	free
freezer	freeze
fructification	fructify
frustration	frustrate
fryer	fry
fucker	fuck
fulfillment	fulfill
fulfilment	fulfill
fulmination	fulminate
fumbler	fumble
fumigation	fumigate
fusion	fuse
gainer	gain
galvanism	galvanize
gambler	gamble
gardener	garden
gasification	gasify
gatecrasher	gatecrash
gatherer	gather
gathering	gather
generalization	generalize
generation	generate
generator	generate
genuflection	genuflect
germination	germinate
gesticulation	gesticulate
get-together	get
getter	get
gift	give
giveaway	give
giver	give
glamorization	glamorize
gleaner	glean
glider	glide
globalization	globalize
glorification	glorify
gobbler	gobble
goer	go
golfer	golf
governance	govern
government	govern
governor	govern
grabber	grab
graduation	graduate
grater	grate
gratification	gratify
gravitation	gravitate
greaser	grease
greeting	greet
greif	grieve
grief	grieve
grievance	grieve
grinder	grind
groover	groove
grounding	ground
groveler	grovel
groveller	grovel
grower	grow
growler	growl
growth	grow
grumbler	grumble
guarantor	guarantee
guardian	guard
guesswork	guess
guidance	guide
guideline	guide
guidepost	guide
gusher	gush
guzzler	guzzle
gyration	gyrate
habitation	inhabit
habituation	habituate
hacker	hack
handler	handle
handout	hand
handover	hand
hanger	hang
hangover	hang
happening	happen
harassment	harass
harmonization	harmonize
harper	harp
harpist	harp
harrier	harry
harvester	harvest
hatred	hate
haulage	haul
hauler	haul
hawker	hawk
header	head
healer	heal
hearer	hear
heater	heat
heating	heat
heckler	heckle
helper	help
heritage	inherit
hesitance	hesitate
hesitation	hesitate
hewer	hew
hibernation	hibernate
hideaway	hide
hideout	hide
hider	hide
hijacker	hijack
hiker	hike
hindrance	hinder
hindrances	hinder
hiring	hire
hitchhiker	hitchhike
hitter	hit
hoarder	hoard
hoaxer	hoax
holder	hold
holding	hold
holdout	hold
holdup	hold
honoree	honor
hook-up	hook
hooter	hoot
hopper	hop
hospitalization	hospitalize
howler	howl
humiliation	humiliate
hunter	hunt
hunting	hunt
hurdler	hurdle
hustler	hustle
hydrogenation	hydrogenate
hypnotism	hypnotize
hypnotist	hypnotize
idealism	idealize
idealist	idealize
idealization	idealize
identification	identify
identity	identify
idler	idle
idolization	idolize
ignition	ignite
ill-treatment	ill-treat
ill-usage	ill-use
illumination	illuminate
illustration	illustrate
illustrator	illustrate
image	imagine
imagination	imagine
imitation	imitate
imitator	imitate
immersion	immerse
immigrant	immigrate
immigration	immigrate
immobilization	immobilize
immolation	immolate
immunization	immunize
impairment	impair
impalement	impale
impeachment	impeach
impediment	impede
impeller	impel
impersonation	impersonate
impersonator	impersonate
impingement	impinge
implantation	implant
implementation	implement
implication	implicate
implosion	implode
importation	import
importer	import
imposition	impose
impoverishment	impoverish
imprecation	imprecate
impression	impress
imprisonment	imprison
improvement	improve
improver	improve
improvisation	improvise
improviser	improvise
imputation	impute
inactivation	deactivate
inauguration	inaugurate
incarceration	incarcerate
incarnation	incarnate
incineration	incinerate
incinerator	incinerate
incision	incise
incitement	incite
inclination	incline
inclosure	inclose
inclusion	include
incorporation	incorporate
incrimination	incriminate
incubation	incubate
incubator	incubate
incursion	incur
indemnification	indemnify
indemnity	indemnify
indentation	indent
indexation	index
indexer	index
indication	indicate
indicative	indicate
indicator	indicate
indictment	indict
indoctrination	indoctrinate
inducement	induce
induction	induce
indulgence	indulge
industrialization	industrialize
inebriation	inebriate
infatuation	infatuate
infection	infect
inference	infer
infestation	infest
infiltration	infiltrate
inflammation	inflame
inflation	inflate
inflection	inflect
infliction	inflict
informant	inform
information	inform
informer	inform
infringement	infringe
infusion	infuse
ingestion	ingest
inhabitant	inhabit
inhalation	inhale
inhaler	inhale
inheritance	inherit
inheritor	inherit
inhibition	inhibit
inhibitor	inhibit
initiation	initiate
initiator	initiate
injection	inject
injury	injure
innovation	innovate
innovator	innovate
inoculation	inoculate
inquirer	inquire
inquiry	inquire
inquisition	inquire
inscription	inscribe
insemination	inseminate
insertion	insert
insinuation	insinuate
insistence	insist
inspection	inspect
inspector	inspect
inspiration	inspire
installation	install
installment	install
instigation	instigate
instigator	instigate
instillation	instill
institution	institute
instruction	instruct
instructions	instruct
instructor	instruct
insulation	insulate
insulator	insulate
insurance	insure
insurer	insure
integration	integrate
intensification	intensify
intensifier	intensify
intent	intend
intention	intend
interaction	interact
interception	intercept
interceptor	intercept
intercession	intercede
intercommunication	intercommunicate
interconnection	interconnect
interdiction	interdict
interference	interfere
interjection	interject
intermarriage	intermarry
interment	inter
internationalization	internationalize
internee	intern
internment	intern
interpellation	interpellate
interpolation	interpolate
interposition	interpose
interpretation	interpret
interpreter	interpret
interrelation	interrelate
interrogation	interrogate
interrogator	interrogate
interrupter	interrupt
interruption	interrupt
intersection	intersect
intervention	intervene
interviewee	interview
interviewer	interview
intimation	intimate
intimidation	intimidate
intonation	intone
intoxicant	intoxicate
intoxication	intoxicate
introduction	introduce
introspection	introspect
introversion	introvert
intruder	intrude
intrusion	intrude
intuition	intuit
inundation	inundate
invader	invade
invalidation	invalidate
invasion	invade
invention	invent
inventor	invent
inversion	invert
investigation	investigate
investigator	investigate
investment	invest
investor	invest
invitation	invite
invitational	invite
involution	involve
involvement	involve
ionization	ionize
irradiation	irradiate
irrigation	irrigate
irritant	irritate
irritation	irritate
isolation	isolate
issuance	issue
issuer	issue
iteration	iterate
jabberer	jabber
jailer	jail
jailor	jail
jaywalker	jaywalk
jest	joke
jester	jest
jobber	job
jogger	jog
joiner	join
jointure	joint
joker	joke
jotter	jot
judgement	judge
judgment	judge
juggler	juggle
jumper	jump
junction	adjoin
justification	justify
juxtaposition	juxtapose
keeper	keep
kidnapper	kidnap
killer	kill
kisser	kiss
knitter	knit
knocker	knock
know-how	know
knowledge	know
known	know
laborer	labor
laceration	lacerate
lagging	lag
lamentation	lament
lancer	lance
landing	land
launcher	launch
launderer	launder
lawsuit	sue
